Product,Entity,Operation,Campaign ID,Ad Group ID,Portfolio ID,Ad ID,Keyword ID,Product Targeting ID,Campaign Name,Ad Group Name,Start Date,End Date,Targeting Type,State,Daily Budget,SKU,Ad Group Default Bid,Bid,Keyword Text,Native Language Keyword,Native Language Locale,Match Type,Bidding Strategy,Placement,Percentage,Product Targeting Expression,Audience ID,Shopper Cohort Percentage,Shopper Cohort Type
Sponsored Products,Campaign,Update,134389069964001,,128613535409943,,,,250TH_STICKER_SET5_SP03_PTQ_Nguyen,,,,,enabled,,,,,,,,,,,,,,,
Sponsored Products,Campaign,Update,267374198764854,,128613535409943,,,,250TH_STICKER_SET5_SP00_KTbroad_patriotic_Nguyen,,,,,enabled,,,,,,,,,,,,,,,
Sponsored Products,Campaign,Update,123542302687148,,128613535409943,,,,250TH_STICKER_SET5_SP00_KTphrase_250_Nguyen,,,,,enabled,,,,,,,,,,,,,,,
Sponsored Products,Campaign,Update,151120381650602,,128613535409943,,,,250TH_STICKER_SET5_SP00_KTphrase_250th_Nguyen,,,,,enabled,,,,,,,,,,,,,,,
Sponsored Products,Campaign,Update,15747236982721,,128613535409943,,,,250TH_STICKER_SET5_SP00_KTphrase_america_Nguyen,,,,,enabled,,,,,,,,,,,,,,,
Sponsored Products,Campaign,Update,72193172110569,,128613535409943,,,,250TH_STICKER_SET5_SP00_KTphrase_250_v2_Nguyen,,,,,enabled,,,,,,,,,,,,,,,
Sponsored Products,Campaign,Update,245353666710983,,128613535409943,,,,250TH_STICKER_SET5_SP00_KTbroad_america_Nguyen,,,,,enabled,,,,,,,,,,,,,,,
Sponsored Products,Campaign,Update,7228629209944,,128613535409943,,,,250TH_STICKER_SET5_SP00_KTbroad_250_Nguyen,,,,,enabled,,,,,,,,,,,,,,,
Sponsored Products,Campaign,Update,165125861777615,,128613535409943,,,,250TH_STICKER_SET5_SP00_KTbroad_250th_Nguyen,,,,,enabled,,,,,,,,,,,,,,,
Sponsored Products,Campaign,Update,48693649482576,,128613535409943,,,,250TH_STICKER_SET5_SP00_KTexact_patriotic_Nguyen,,,,,enabled,,,,,,,,,,,,,,,
Sponsored Products,Campaign,Update,140531328480485,,128613535409943,,,,250TH_STICKER_SET5_SP00_KTbroad_250_v2_Nguyen,,,,,enabled,,,,,,,,,,,,,,,
Sponsored Products,Campaign,Update,111757157201198,,128613535409943,,,,250TH_STICKER_SET5_SP00_KTexact_250_Nguyen,,,,,enabled,,,,,,,,,,,,,,,
Sponsored Products,Campaign,Update,111368877857505,,128613535409943,,,,250TH_STICKER_SET5_SP00_KTphrase_250_v3_Nguyen,,,,,enabled,,,,,,,,,,,,,,,
Sponsored Products,Campaign,Update,201822358573013,,128613535409943,,,,250TH_STICKER_SET5_SP00_KTexact_250_v2_Nguyen,,,,,enabled,,,,,,,,,,,,,,,
Sponsored Products,Campaign,Update,136319504592319,,210872714275011,,,,CROSSCAR_PSALM9111_SP00_KTchristan_Nguyen,,,,,enabled,,,,,,,,,,,,,,,
Sponsored Products,Campaign,Update,85110134308608,,253189447671739,,,,FATHERDAY_DADJOKEJAR_SP00_KTexact_dad_jokes_50T_Nguyen,,,,,enabled,,,,,,,,,,,,,,,
Sponsored Products,Campaign,Update,42873935645670,,253189447671739,,,,FATHERDAY_DADJOKEJAR_SP00_KTexact_dad_Nguyen,,,,,enabled,,,,,,,,,,,,,,,
Sponsored Products,Campaign,Update,81041136688515,,253189447671739,,,,FATHERDAY_DADJOKEJAR_SP03_PTdad_Nguyen,,,,,enabled,,,,,,,,,,,,,,,
Sponsored Products,Campaign,Update,170066002695297,,253189447671739,,,,FATHERDAY_DADJOKEJAR_SP00_KTphrase_dad_Nguyen,,,,,enabled,,,,,,,,,,,,,,,
Sponsored Products,Campaign,Update,60954565699157,,253189447671739,,,,FATHERDAY_DADJOKEJAR_SP02_AUTO_Nguyen,,,,,enabled,,,,,,,,,,,,,,,
Sponsored Products,Campaign,Update,250271921014238,,253189447671739,,,,FATHERDAY_DADJOKEJAR_SP00_KTexact_funny_gift_50T_Nguyen,,,,,enabled,,,,,,,,,,,,,,,
Sponsored Products,Campaign,Update,212695942207560,,253189447671739,,,,FATHERDAY_DADJOKEJAR_SP00_KTexact_dad_joke_button_50T_Nguyen,,,,,enabled,,,,,,,,,,,,,,,
Sponsored Products,Campaign,Update,2297756395507,,253189447671739,,,,FATHERDAY_DADJOKEJAR_SP00_KTphrase_fathers_Nguyen,,,,,enabled,,,,,,,,,,,,,,,
Sponsored Products,Campaign,Update,73119710873995,,253189447671739,,,,FATHERDAY_DADJOKEJAR_SP00_KTexact_gag_gifts_for_men_50T_Nguyen,,,,,enabled,,,,,,,,,,,,,,,
Sponsored Products,Campaign,Update,64850718904266,,253189447671739,,,,FATHERDAY_DADJOKEJAR_SP00_KTexact_fathers_birthday_gifts_50T_Nguyen,,,,,enabled,,,,,,,,,,,,,,,
Sponsored Products,Campaign,Update,229733868754137,,253189447671739,,,,FATHERDAY_DADJOKEJAR_SP00_KTexact_dad_birthday_50T_Nguyen,,,,,enabled,,,,,,,,,,,,,,,
